         1970505 function calls (1955392 primitive calls) in 100.404 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.016    0.016    0.029    0.029 <frozen importlib._bootstrap_external>:180(_write_atomic)
      790    0.016    0.000    0.016    0.000 utils.py:45(<genexpr>)
        2    0.016    0.008    0.016    0.008 ctx_base.py:52(_init_aliases)
        4    0.016    0.004    0.016    0.004 glob.py:116(_iterdir)
     5646    0.016    0.000    0.021    0.000 {built-in method __new__ of type object at 0x8dcb80}
   1122/1    0.016    0.000  100.502  100.502 <frozen importlib._bootstrap>:650(_load_unlocked)
      151    0.016    0.000    0.018    0.000 enum.py:200(<setcomp>)
    13804    0.015    0.000    0.031    0.000 sre_parse.py:254(get)
   1168/1    0.015    0.000  100.565  100.565 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     4487    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
       18    0.015    0.001    0.021    0.001 __init__.py:313(namedtuple)
    12837    0.014    0.000    0.056    0.000 {method 'join' of 'str' objects}
     1126    0.014    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     2153    0.013    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1730    0.013    0.000   39.864    0.023 <frozen importlib._bootstrap>:78(acquire)
64348/63508    0.013    0.000    0.014    0.000 {built-in method builtins.len}
       76    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
     1121    0.013    0.000    0.088    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      946    0.013    0.000    0.037    0.000 inspect.py:2772(__init__)
     2198    0.013    0.000    0.013    0.000 enum.py:631(__new__)
        4    0.013    0.003    0.016    0.004 _codata.py:1503(parse_constants_2002to2014)
     2736    0.013    0.000    0.317    0.000 re.py:250(compile)
      221    0.012    0.000    0.018    0.000 symbolic_helper.py:263(decorator)
   191/69    0.012    0.000    0.017    0.000 sorting.py:202(ordered)
     1159    0.012    0.000   13.026    0.011 <frozen importlib._bootstrap_external>:1367(_get_spec)
     2132    0.012    0.000    0.012    0.000 dataclasses.py:389(<genexpr>)
       89    0.012    0.000    0.012    0.000 utils.py:44(<dictcomp>)
     1076    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
   1076/1    0.012    0.000  100.502  100.502 <frozen importlib._bootstrap_external>:842(exec_module)
    23004    0.011    0.000    0.023    0.000 {built-in method builtins.all}
        4    0.011    0.003    0.187    0.047 _config_module.py:73(get_assignments_with_compile_ignored_comments)
      623    0.011    0.000    0.011    0.000 sre_parse.py:286(tell)
     8481    0.011    0.000    0.011    0.000 {method 'rpartition' of 'str' objects}
     5009    0.011    0.000    0.011    0.000 {method 'format' of 'str' objects}
        1    0.011    0.011    0.011    0.011 value_ranges.py:181(SymPyValueRangeAnalysis)
    27520    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
    51284    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
32907/32415    0.010    0.000    0.010    0.000 {built-in method builtins.hash}
     8575    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
2794/2791    0.009    0.000    0.035    0.000 utils.py:844(is_safe_constant)
  891/186    0.009    0.000    0.011    0.000 sre_parse.py:174(getwidth)
     2195    0.009    0.000    0.058    0.000 <frozen importlib._bootstrap>:376(cached)
    15614    0.009    0.000    0.009    0.000 {method 'get' of 'mappingproxy' objects}
     5227    0.009    0.000    0.010    0.000 inspect.py:158(isfunction)
      145    0.009    0.000    0.168    0.001 dataclasses.py:487(_init_fn)
     2008    0.009    0.000    0.026    0.000 inspect.py:2489(__init__)
       20    0.009    0.000    0.021    0.001 textwrap.py:414(dedent)
      655    0.008    0.000    0.080    0.000 typing.py:659(__init__)
  1226/54    0.008    0.000   54.774    1.014 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    12939    0.008    0.000    0.071    0.000 conflict.py:43(edge)
     3227    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
    13254    0.008    0.000    0.011    0.000 conflict.py:15(<genexpr>)
     2498    0.008    0.000    0.008    0.000 facts.py:582(_tell)
     4161    0.008    0.000   12.925    0.003 <frozen importlib._bootstrap_external>:135(_path_stat)
      577    0.007    0.000    0.022    0.000 registration.py:296(wrapper)
      693    0.007    0.000    0.023    0.000 dataclasses.py:669(_get_field)
        1    0.007    0.007    0.007    0.007 point.py:42(Point)
     1076    0.007    0.000    3.266    0.003 <frozen importlib._bootstrap_external>:1075(path_stats)
     1320    0.007    0.000    0.008    0.000 enum.py:417(__setattr__)
        1    0.007    0.007    0.007    0.007 {method 'write' of '_io.FileIO' objects}
    18595    0.007    0.000    0.007    0.000 {built-in method builtins.id}
     2525    0.007    0.000    0.007    0.000 typing.py:711(__eq__)
       92    0.007    0.000    0.011    0.000 sre_compile.py:536(_compile_info)
     3709    0.006    0.000    0.063    0.000 package_importer.py:695(_patched_getfile)
     2595    0.006    0.000    0.013    0.000 {built-in method builtins.max}
        1    0.006    0.006    0.010    0.010 side_effects.py:1(<module>)
       89    0.006    0.000    0.236    0.003 dispatcher.py:178(add)
       89    0.006    0.000    0.077    0.001 conflict.py:62(<listcomp>)
     1075    0.006    0.000    0.006    0.000 {built-in method _imp._fix_co_filename}
      663    0.006    0.000    0.020    0.000 typing_extensions.py:2989(_collect_type_vars)
    21338    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
      215    0.006    0.000    0.006    0.000 _api.py:41(__eq__)
       40    0.006    0.000    0.080    0.002 dataclasses.py:548(_frozen_get_del_attr)
     1596    0.006    0.000    4.537    0.003 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.006    0.006    0.026    0.026 _codata.py:7(<module>)
      145    0.006    0.000    0.007    0.000 dataclasses.py:530(<listcomp>)
3343/3074    0.006    0.000    0.008    0.000 typing.py:720(__hash__)
     4959    0.006    0.000    0.010    0.000 typing.py:646(_is_dunder)
     3325    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:389(parent)
1122/1120    0.006    0.000    0.323    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.006    0.006    0.007    0.007 _functional_tensor.py:1(<module>)
      390    0.006    0.000    0.008    0.000 re.py:270(escape)
        1    0.006    0.006   32.020   32.020 poolers.py:1(<module>)
      221    0.006    0.000    0.006    0.000 symbolic_helper.py:234(parse_args)
     1164    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.005    0.005    0.020    0.020 boolalg.py:1(<module>)
       35    0.005    0.000    0.008    0.000 ast.py:30(parse)
     1126    0.005    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1076    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     6397    0.005    0.000    0.005    0.000 {built-in method _imp.release_lock}
        1    0.005    0.005    0.005    0.005 {built-in method posix.open}
        1    0.005    0.005    0.060    0.060 feature_pyramid_network.py:1(<module>)
      663    0.005    0.000    0.006    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
     3230    0.005    0.000    0.006    0.000 {method 'update' of 'dict' objects}
     2204    0.005    0.000    0.060    0.000 enum.py:313(__call__)
     1157    0.005    0.000    0.783    0.001 <frozen importlib._bootstrap>:176(cb)
     1119    0.005    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     1433    0.005    0.000    1.199    0.001 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
    14527    0.004    0.000    0.007    0.000 {built-in method builtins.issubclass}
     4676    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
     4306    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     3510    0.004    0.000    0.561    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1077    0.004    0.000    0.039    0.000 typing.py:802(__getitem__)
    333/3    0.004    0.000   99.992   33.331 {built-in method builtins.__import__}
        3    0.004    0.001    0.009    0.003 functions.py:18(__init__)
     6032    0.004    0.000    0.082    0.000 conflict.py:19(ambiguous)
     1076    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
     5936    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
   182/27    0.004    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
     3708    0.004    0.000    0.203    0.000 inspect.py:692(getsourcefile)
      305    0.004    0.000    0.009    0.000 inspect.py:1812(_signature_bound_method)
      406    0.004    0.000    0.052    0.000 deprecation.py:9(wrap)
     1966    0.004    0.000    0.004    0.000 functools.py:64(wraps)
     1174    0.004    0.000    0.679    0.001 <frozen importlib._bootstrap>:147(__enter__)
     1078    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:35(_new_module)
     7602    0.004    0.000    0.005    0.000 inspect.py:72(isclass)
     1422    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:364(__eq__)
       10    0.004    0.000    0.223    0.022 linecache.py:82(updatecache)
     3510    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:867(__exit__)
      982    0.004    0.000    0.009    0.000 dataclasses.py:610(_is_type)
      182    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
      706    0.004    0.000    0.007    0.000 inspect.py:493(unwrap)
      480    0.004    0.000    0.050    0.000 assumptions.py:469(__init__)
       10    0.003    0.000   26.059    2.606 utils.py:1(<module>)
