         1970505 function calls (1955392 primitive calls) in 100.404 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 gruntz.py:1(<module>)
        4    0.000    0.000    0.189    0.047 _config_module.py:19(install_config_module)
        1    0.000    0.000    0.000    0.000 pycode.py:78(AbstractPythonCodePrinter)
      235    0.000    0.000    0.002    0.000 libmpf.py:330(from_int)
        1    0.000    0.000    0.000    0.000 polyclasses.py:1732(DUP_Flint)
        1    0.000    0.000    0.325    0.325 function.py:1(<module>)
        1    0.000    0.000    0.062    0.062 gmpy.py:1(<module>)
       33    0.000    0.000    0.000    0.000 builtin.py:433(__init__)
       14    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.002    0.000 printer.py:356(__init__)
      925    0.000    0.000    0.000    0.000 inspect.py:2543(default)
       15    0.000    0.000    0.001    0.000 _internal.py:456(getArtifactLogger)
        1    0.000    0.000    0.001    0.001 expr.py:43(Expr)
        1    0.000    0.000    0.001    0.001 monomials.py:1(<module>)
        1    0.000    0.000    0.004    0.004 swin_transformer.py:4(<module>)
      559    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 rings.py:196(PolyRing)
        1    0.000    0.000    0.147    0.147 deeplabv3.py:1(<module>)
        1    0.000    0.000    0.025    0.025 hyper.py:1(<module>)
      184    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.683    0.683 _meta_registrations.py:1(<module>)
        2    0.000    0.000    0.004    0.002 mobilenetv3.py:1(<module>)
        1    0.000    0.000    0.054    0.054 value_ranges.py:1(<module>)
       29    0.000    0.000    0.002    0.000 typing.py:496(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       97    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.001    0.001 output_graph.py:222(OutputGraph)
        1    0.000    0.000    1.478    1.478 sympify.py:1(<module>)
        2    0.000    0.000    0.011    0.005 factorials.py:1(<module>)
        1    0.000    0.000    0.002    0.002 solve.py:1(<module>)
        2    0.000    0.000    0.004    0.002 inception.py:1(<module>)
        1    0.000    0.000    1.158    1.158 matexpr.py:1(<module>)
        1    0.000    0.000    0.803    0.803 client.py:1(<module>)
        1    0.000    0.000    0.032    0.032 bytecode_transformation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fu.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _builtins.py:182(_register_builtin)
        1    0.000    0.000    0.000    0.000 math2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defaults.py:1(<module>)
        1    0.000    0.000    0.018    0.018 integerring.py:1(<module>)
        6    0.000    0.000    0.000    0.000 symbolic_shapes.py:935(_lru_cache)
        2    0.000    0.000    0.003    0.002 mobilenetv2.py:1(<module>)
        1    0.000    0.000    0.022    0.022 radsimp.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.038    0.038 exprtools.py:1(<module>)
        2    0.000    0.000    0.032    0.016 googlenet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 finitefield.py:81(FiniteField)
        1    0.000    0.000    0.000    0.000 fancysets.py:1110(ComplexRegion)
        1    0.000    0.000    0.055    0.055 hyperexpand.py:1(<module>)
        1    0.000    0.000    1.537    1.537 optimizer.py:1(<module>)
       44    0.000    0.000    0.000    0.000 _jit_internal.py:591(unused)
       76    0.000    0.000    0.013    0.000 re.py:203(sub)
      121    0.000    0.000    0.000    0.000 _api.py:197(wrapper)
       11    0.000    0.000    0.002    0.000 _ops.py:704(__getattr__)
       65    0.000    0.000    0.002    0.000 posixpath.py:372(abspath)
        1    0.000    0.000    0.003    0.003 gammazeta.py:1372(<listcomp>)
        1    0.000    0.000    0.124    0.124 well_known_types.py:8(<module>)
        1    0.000    0.000    0.000    0.000 libmpf.py:136(<listcomp>)
        1    0.000    0.000    0.001    0.001 quoprimime.py:5(<module>)
        1    0.000    0.000    0.180    0.180 trigonometric.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ctx_iv.py:1(<module>)
       40    0.000    0.000    0.006    0.000 dataclasses.py:587(_hash_fn)
        1    0.000    0.000   31.940   31.940 roi_align.py:1(<module>)
        1    0.000    0.000    0.002    0.002 polygon.py:1(<module>)
        1    0.000    0.000    0.003    0.003 gammazeta.py:1(<module>)
       11    0.000    0.000    0.006    0.001 decorator.py:177(create)
        1    0.000    0.000    0.001    0.001 lsun.py:1(<module>)
        1    0.000    0.000    0.003    0.003 make_functional.py:7(<module>)
        1    0.000    0.000    0.106    0.106 factor_.py:1(<module>)
      347    0.000    0.000    0.001    0.000 pretty_symbology.py:10(U)
      187    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 boolalg.py:253(BooleanTrue)
        7    0.000    0.000    0.004    0.001 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.001    0.001 symbolic_opset7.py:1(<module>)
        1    0.000    0.000    0.289    0.289 _video_opt.py:1(<module>)
        1    0.000    0.000    0.002    0.002 voc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rootisolation.py:1(<module>)
        1    0.000    0.000    0.110    0.110 ellipse.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _internal.py:26(_makenames_list)
        1    0.000    0.000    0.000    0.000 singularities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mnist.py:258(EMNIST)
      186    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 text_encoding.py:33(<dictcomp>)
      145    0.000    0.000    0.000    0.000 dataclasses.py:941(<listcomp>)
        1    0.000    0.000    0.001    0.001 _internally_replaced_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sets.py:1284(Union)
        1    0.000    0.000    0.082    0.082 _normalizations.py:1(<module>)
       10    0.000    0.000    0.012    0.001 _deprecation.py:20(decorator)
        1    0.000    0.000    0.138    0.138 formal.py:1(<module>)
       40    0.000    0.000    0.006    0.000 dataclasses.py:768(_hash_add)
        1    0.000    0.000    0.001    0.001 _trace_wrapped_higher_order_op.py:1(<module>)
        1    0.000    0.000    0.421    0.421 power.py:1(<module>)
        4    0.000    0.000    0.000    0.000 decoder.py:251(_StructPackDecoder)
        2    0.000    0.000    0.020    0.010 _sources.py:119(parse_def)
    27/19    0.000    0.000    0.000    0.000 builder.py:34(BuildNestedDescriptors)
        1    0.000    0.000    0.058    0.058 deprecated.py:1(<module>)
      175    0.000    0.000    0.001    0.000 {built-in method builtins.next}
   182/27    0.000    0.000    0.004    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.170    0.170 tensor.py:1(<module>)
        1    0.000    0.000    0.021    0.021 numpy_helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 factortools.py:1(<module>)
      267    0.000    0.000    0.000    0.000 dispatcher.py:204(<genexpr>)
        1    0.000    0.000   44.663   44.663 engine.py:1(<module>)
       91    0.000    0.000    0.009    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.003    0.003 allowed_functions.py:96(_disallowed_function_ids)
        1    0.000    0.000    0.001    0.001 basic.py:126(Basic)
        1    0.000    0.000    0.062    0.062 _basic.py:5(<module>)
        1    0.000    0.000    0.329    0.329 point.py:1(<module>)
        1    0.000    0.000    0.240    0.240 entity.py:1(<module>)
       19    0.000    0.000    0.000    0.000 pythonmpq.py:57(__new__)
        1    0.000    0.000    0.028    0.028 libmpc.py:1(<module>)
        1    0.000    0.000   48.137   48.137 torch_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_checkers.py:8(<module>)
        1    0.000    0.000    0.000    0.000 orthopolys.py:1(<module>)
        3    0.000    0.000    0.001    0.000 decorators.py:111(sympify_method_args)
        1    0.000    0.000    0.303    0.303 finitefield.py:1(<module>)
        1    0.000    0.000    0.001    0.001 maple.py:1(<module>)
       18    0.000    0.000    0.065    0.004 util.py:73(find_spec)
        1    0.000    0.000    0.002    0.002 io_adapter.py:1(<module>)
        1    0.000    0.000    0.002    0.002 mask_rcnn.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ctx_iv.py:324(_init_builtins)
        1    0.000    0.000    0.002    0.002 retinanet.py:1(<module>)
        1    0.000    0.000    0.204    0.204 domain.py:1(<module>)
        1    0.000    0.000    0.097    0.097 ctx_mp.py:1(<module>)
        1    0.000    0.000    0.002    0.002 device_interface.py:1(<module>)
        1    0.000    0.000    0.063    0.063 checker.py:4(<module>)
        1    0.000    0.000    0.046    0.046 densenet.py:1(<module>)
       50    0.000    0.000    0.001    0.000 skipfiles.py:152(_module_dir)
        1    0.000    0.000    0.015    0.015 accumulationbounds.py:1(<module>)
        1    0.000    0.000    0.000    0.000 deform_conv.py:1(<module>)
        2    0.000    0.000    0.001    0.001 decorator.py:215(decorator)
        1    0.000    0.000    0.054    0.054 generate.py:1(<module>)
      250    0.000    0.000    0.000    0.000 inspect.py:2246(<lambda>)
      101    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    5.197    5.197 specialpolys.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C.call_stack}
        1    0.000    0.000    0.000    0.000 polyclasses.py:138(DMP)
        1    0.000    0.000    0.000    0.000 sets.py:44(Set)
        1    0.000    0.000    0.012    0.012 galoisgroups.py:1(<module>)
       41    0.000    0.000    0.001    0.000 decorators.py:98(priority_decorator)
        1    0.000    0.000    0.000    0.000 symbol_database.py:8(<module>)
      611    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.002    0.002 _type_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 printer.py:1(<module>)
       32    0.000    0.000    0.151    0.005 posixpath.py:387(realpath)
      268    0.000    0.000    0.001    0.000 libmpf.py:322(<genexpr>)
        1    0.000    0.000    1.457    1.457 _optical_flow.py:1(<module>)
        1    0.000    0.000    0.009    0.009 rootoftools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compiled_autograd.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _rules.py:314(_POERules)
        1    0.000    0.000    0.000    0.000 immutable.py:30(ImmutableRepMatrix)
      719    0.000    0.000    0.000    0.000 conflict.py:63(<lambda>)
        1    0.000    0.000    0.006    0.006 mvit.py:1(<module>)
        1    0.000    0.000    0.148    0.148 extension.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _custom_ops.py:1(<module>)
      354    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    3.275    3.275 _diagnostic.py:1(<module>)
        2    0.000    0.000    0.001    0.001 linalg.py:1(<module>)
        1    0.000    0.000    0.007    0.007 vgg.py:1(<module>)
        2    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 domainmatrix.py:86(DomainMatrix)
        1    0.000    0.000    0.766    0.766 python_message.py:13(<module>)
        1    0.000    0.000    0.000    0.000 trace_rules.py:2010(<dictcomp>)
        4    0.000    0.000    0.000    0.000 weakref.py:517(__init__)
        1    0.000    0.000    0.631    0.631 mul.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.065    0.065 ctx_manager.py:1(<module>)
        1    0.000    0.000    0.039    0.039 densebasic.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssdlite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mathematica.py:1(<module>)
        1    0.000    0.000    0.005    0.005 sequences.py:1(<module>)
        1    0.000    0.000    0.002    0.002 squeezenet.py:1(<module>)
       33    0.000    0.000    0.000    0.000 base.py:377(<listcomp>)
        1    0.000    0.000    0.001    0.001 user_defined.py:1(<module>)
       47    0.000    0.000    0.001    0.000 tokenize.py:325(find_cookie)
       28    0.000    0.000    0.000    0.000 rational.py:7(create_reduced)
        1    0.000    0.000    5.209    5.209 polyfuncs.py:1(<module>)
       43    0.000    0.000    0.000    0.000 ctx_mp_python.py:979(_wrap_libmp_function)
        1    0.000    0.000    0.425    0.425 external_data_helper.py:4(<module>)
        2    0.000    0.000    0.000    0.000 hypergeometric.py:1(<module>)
        1    0.000    0.000    0.018    0.018 arpack.py:1(<module>)
      317    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
        1    0.000    0.000    0.055    0.055 image.py:1(<module>)
        3    0.000    0.000    0.000    0.000 matrices.py:749(__init__)
        1    0.000    0.000    0.002    0.002 ssd.py:1(<module>)
        1    0.000    0.000    0.092    0.092 error_functions.py:1(<module>)
        2    0.000    0.000    0.012    0.006 polynomials.py:1(<module>)
        4    0.000    0.000    0.169    0.042 traceback.py:200(extract_stack)
        2    0.000    0.000    0.001    0.000 getlimits.py:491(_init)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mpelements.py:1(<module>)
        1    0.000    0.000    3.583    3.583 partfrac.py:1(<module>)
        1    0.000    0.000    0.396    0.396 algebraicfield.py:1(<module>)
       24    0.000    0.000    0.000    0.000 version.py:205(<genexpr>)
        1    0.000    0.000    0.049    0.049 uuid.py:1(<module>)
        1    0.000    0.000    0.001    0.001 logging_tensor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csr.py:5(<module>)
        1    0.000    0.000    0.004    0.004 gen_proto.py:4(<module>)
        1    0.000    0.000    0.034    0.034 test_operators.py:1(<module>)
        1    0.000    0.000    0.049    0.049 residue_ntheory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:796(singledispatch)
        1    0.000    0.000    0.001    0.001 fake_tensor_prop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic_opset16.py:1(<module>)
        1    0.000    0.000    0.001    0.001 places365.py:1(<module>)
        1    0.000    0.000    0.150    0.150 lambdify.py:1(<module>)
        4    0.000    0.000    0.000    0.000 function_base.py:2268(__init__)
        1    0.000    0.000    0.001    0.001 kitti.py:11(Kitti)
        1    0.000    0.000    0.002    0.002 video.py:1(<module>)
        4    0.000    0.000    0.102    0.026 core.py:1(<module>)
        1    0.000    0.000    0.050    0.050 raft.py:1(<module>)
       27    0.000    0.000    0.000    0.000 symbol_database.py:72(RegisterMessage)
        6    0.000    0.000    0.042    0.007 enum.py:430(_create_)
        7    0.000    0.000    0.000    0.000 _ops.py:101(inner)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
        1    0.000    0.000    0.001    0.001 symbolic_opset12.py:1(<module>)
        2    0.000    0.000    0.000    0.000 power.py:118(__new__)
        1    0.000    0.000    1.773    1.773 constructor.py:1(<module>)
        1    0.000    0.000    0.137    0.137 trigsimp.py:1(<module>)
      897    0.000    0.000    0.000    0.000 inspect.py:366(<lambda>)
      733    0.000    0.000    0.000    0.000 _beartype.py:57(_no_op_decorator)
        1    0.000    0.000    0.048    0.048 lie_group.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expr_with_limits.py:1(<module>)
        1    0.000    0.000    0.001    0.001 add.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _ops.py:42(__init__)
        1    0.000    0.000    0.000    0.000 torch_function.py:1(<module>)
        5    0.000    0.000    0.001    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.034    0.034 polyroots.py:1(<module>)
       12    0.000    0.000    0.000    0.000 misc.py:305(func_name)
        1    0.000    0.000    0.000    0.000 ctx_fp.py:12(FPContext)
        1    0.000    0.000    0.001    0.001 nn_module.py:1(<module>)
        1    0.000    0.000    0.135    0.135 stringpict.py:1(<module>)
        1    0.000    0.000    0.011    0.011 vision_transformer.py:1(<module>)
       21    0.000    0.000    0.000    0.000 domain.py:371(new)
        1    0.000    0.000    0.001    0.001 onnxruntime.py:536(OrtBackendOptions)
        2    0.000    0.000    0.000    0.000 blas.py:377(_memoize_get_funcs)
        1    0.000    0.000    0.002    0.002 libintmath.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _internal.py:56(_usefields)
        1    0.000    0.000    0.001    0.001 _dtypes.py:1(<module>)
        1    0.000    0.000    2.935    2.935 formatter.py:1(<module>)
        1    0.000    0.000    0.011    0.011 bytecode_analysis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backbone_utils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fcos.py:1(<module>)
        1    0.000    0.000    0.217    0.217 symbol.py:1(<module>)
        1    0.000    0.000    0.209    0.209 api_implementation.py:8(<module>)
        1    0.000    0.000    0.000    0.000 symbolic_convert.py:2253(InliningInstructionTranslator)
        1    0.000    0.000    0.086    0.086 iterative.py:1(<module>)
        1    0.000    0.000    0.003    0.003 miscellaneous.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:736(__mro_entries__)
       40    0.000    0.000    0.000    0.000 libmpf.py:208(_normalize1)
        1    0.000    0.000    0.000    0.000 iterables.py:781(topological_sort)
       34    0.000    0.000    0.000    0.000 libmpf.py:950(mpf_div)
        6    0.000    0.000    0.000    0.000 ctx_iv.py:413(convert)
        1    0.000    0.000    0.061    0.061 polyoptions.py:1(<module>)
        1    0.000    0.000    0.246    0.246 header.py:5(<module>)
        1    0.000    0.000    0.275    0.275 base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 matadd.py:1(<module>)
        1    0.000    0.000    0.056    0.056 _matfuncs.py:4(<module>)
        1    0.000    0.000    0.006    0.006 ImageFont.py:28(<module>)
        1    0.000    0.000    0.000    0.000 systems.py:1(<module>)
        1    0.000    0.000    0.000    0.000 densetools.py:1(<module>)
        1    0.000    0.000    0.037    0.037 libhyper.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.186    0.186 ImageOps.py:19(<module>)
        3    0.000    0.000    0.000    0.000 quadrature.py:461(__init__)
        1    0.000    0.000    0.000    0.000 preview.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _config_module.py:1(<module>)
       90    0.000    0.000    0.000    0.000 {built-in method math.log}
       11    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.001    0.001 matexpr.py:37(MatrixExpr)
        1    0.000    0.000    0.001    0.001 lists.py:1(<module>)
        1    0.000    0.000    0.000    0.000 euclidtools.py:1(<module>)
      135    0.000    0.000    0.000    0.000 inspect.py:285(isbuiltin)
       22    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.001    0.001 order.py:1(<module>)
       33    0.000    0.000    0.001    0.000 base.py:212(<listcomp>)
        1    0.000    0.000    0.000    0.000 libintmath.py:126(<listcomp>)
      116    0.000    0.000    0.001    0.000 re.py:331(filter)
        1    0.000    0.000    0.258    0.258 dicts.py:1(<module>)
        1    0.000    0.000    0.002    0.002 maxvit.py:1(<module>)
      124    0.000    0.000    0.000    0.000 functions.py:85(defun)
        1    0.000    0.000    0.000    0.000 eigen.py:14(<module>)
       19    0.000    0.000    0.223    0.012 linecache.py:37(getlines)
        1    0.000    0.000    3.022    3.022 _infra.py:1(<module>)
        1    0.000    0.000    0.152    0.152 basis.py:1(<module>)
    72/62    0.000    0.000    0.001    0.000 typing.py:701(<listcomp>)
        1    0.000    0.000    0.075    0.075 _dtypes_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 str.py:1(<module>)
        2    0.000    0.000    0.000    0.000 rationaltools.py:1(<module>)
       59    0.000    0.000    0.001    0.000 skipfiles.py:148(_strip_init_py)
       13    0.000    0.000    0.001    0.000 _infra.py:74(from_sarif)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(__init__)
        1    0.000    0.000    3.975    3.975 _kdtree.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _reductions_impl.py:1(<module>)
       80    0.000    0.000    0.000    0.000 _ndarray.py:82(create_method)
        1    0.000    0.000    0.002    0.002 argparse.py:4(<module>)
        1    0.000    0.000    0.000    0.000 drop_block.py:1(<module>)
        1    0.000    0.000    0.000    0.000 primetest.py:1(<module>)
        1    0.000    0.000    0.358    0.358 limits.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.200    0.200 ddm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:585(__init__)
        1    0.000    0.000    0.001    0.001 hub.py:130(_get_torch_home)
        1    0.000    0.000    0.002    0.002 keypoint_rcnn.py:1(<module>)
       43    0.000    0.000    0.149    0.003 dispatcher.py:147(_)
        1    0.000    0.000    0.802    0.802 products.py:1(<module>)
        1    0.000    0.000    0.063    0.063 nonhomogeneous.py:1(<module>)
        1    0.000    0.000    0.069    0.069 exponential.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:9(<module>)
        1    0.000    0.000    0.001    0.001 rational.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.055    0.055 _pybind_state.py:5(<module>)
        1    0.000    0.000    0.061    0.061 blockmatrix.py:1(<module>)
        1    0.000    0.000    0.038    0.038 dispatcher.py:1(<module>)
       33    0.000    0.000    0.000    0.000 base.py:357(__init__)
        1    0.000    0.000    0.287    0.287 inspect.py:1457(getframeinfo)
        6    0.000    0.000    0.090    0.015 inspect.py:970(getsourcelines)
        3    0.000    0.000    0.010    0.003 ctx_base.py:42(__init__)
        1    0.000    0.000    0.047    0.047 jit_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
       19    0.000    0.000    0.006    0.000 recording.py:212(decorator)
        1    0.000    0.000    0.001    0.001 gaussiandomains.py:1(<module>)
        1    0.000    0.000    0.021    0.021 ctx_mp.py:63(__init__)
        1    0.000    0.000    0.000    0.000 galois_resolvents.py:1(<module>)
        1    0.000    0.000    0.347    0.347 descriptor.py:8(<module>)
        1    0.000    0.000    0.033    0.033 polyutils.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 symbolic_opset14.py:1(<module>)
        1    0.000    0.000    0.035    0.035 hooks.py:1(<module>)
       12    0.000    0.000    0.157    0.013 traceback.py:285(line)
        8    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    2.052    2.052 ctx_fp.py:1(<module>)
       33    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.003    0.003 ctx_iv.py:306(__init__)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:64(ImageDraw)
        1    0.000    0.000    0.003    0.003 _stereo_matching.py:1(<module>)
        6    0.000    0.000    0.043    0.007 enum.py:483(_convert_)
        1    0.000    0.000    0.126    0.126 __init__.py:25(try_load)
        1    0.000    0.000    0.000    0.000 powsimp.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.036    0.036 _compressed.py:1(<module>)
        1    0.000    0.000    0.542    0.542 bsplines.py:1(<module>)
       12    0.000    0.000    0.157    0.013 linecache.py:15(getline)
        1    0.000    0.000    0.031    0.031 gamma_functions.py:1(<module>)
        1    0.000    0.000    0.031    0.031 message.py:105(Message)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.000    0.000 builder.py:26(BuildMessageAndEnumDescriptors)
        1    0.000    0.000    0.006    0.006 _basic.py:7(<module>)
        1    0.000    0.000    0.004    0.004 mnasnet.py:1(<module>)
      263    0.000    0.000    0.000    0.000 _add_newdocs.py:18(add_newdoc)
        1    0.000    0.000    0.014    0.014 hyperbolic.py:1(<module>)
        8    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       42    0.000    0.000    0.135    0.003 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 plot_implicit.py:1(<module>)
      101    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
       17    0.000    0.000    0.011    0.001 linecache.py:53(checkcache)
        1    0.000    0.000    0.002    0.002 codegen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pycode.py:551(PythonCodePrinter)
      177    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        3    0.000    0.000    0.002    0.001 builder.py:48(BuildTopDescriptorsAndMessages)
        1    0.000    0.000    0.001    0.001 fcos.py:270(FCOS)
        1    0.000    0.000    0.002    0.002 _ellip_harm.py:1(<module>)
        4    0.000    0.000    0.238    0.059 _internally_replaced_utils.py:25(_get_extension_path)
       12    0.000    0.000    0.000    0.000 basic.py:256(__hash__)
       18    0.000    0.000    0.002    0.000 {built-in method _abc._abc_register}
       45    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    5.899    5.899 _register_onnx_ops.py:1(<module>)
       12    0.000    0.000    0.000    0.000 polytools.py:68(_polifyit)
        1    0.000    0.000    0.001    0.001 plane.py:1(<module>)
        1    0.000    0.000    0.000    0.000 funcmatrix.py:9(FunctionMatrix)
        1    0.000    0.000    0.002    0.002 folder.py:1(<module>)
        1    0.000    0.000    0.048    0.048 galoistools.py:1(<module>)
        1    0.000    0.000    0.049    0.049 fourier.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.012    0.012 integers.py:1(<module>)
        2    0.000    0.000    0.085    0.042 inverse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fcn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 libmpi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 series.py:126(BaseSeries)
      168    0.000    0.000    0.000    0.000 inspect.py:702(<genexpr>)
        1    0.000    0.000    0.001    0.001 interp.py:1(<module>)
        1    0.000    0.000    0.004    0.004 zeta_functions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 transform.py:1(<module>)
        1    0.000    0.000    0.059    0.059 gtk.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 subfield.py:1(<module>)
        1    0.000    0.000    0.005    0.005 types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyoptions.py:182(_init_dependencies_order)
        1    0.000    0.000    0.075    0.075 linsolve.py:29(<module>)
       12    0.000    0.000    0.001    0.000 symbol.py:319(__new__)
        1    0.000    0.000    0.000    0.000 extrapolation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 raft.py:541(Raft_Large_Weights)
        1    0.000    0.000    0.000    0.000 visualization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sympy_parser.py:1105(EvaluateFalseTransformer)
      254    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 traversal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inequalities.py:1(<module>)
        1    0.000    0.000    0.043    0.043 parameters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    2.470    2.470 _bsr.py:1(<module>)
       95    0.000    0.000    0.000    0.000 inspect.py:2008(parse_name)
        1    0.000    0.000    0.000    0.000 julia.py:1(<module>)
      256    0.000    0.000    0.000    0.000 libintmath.py:62(python_trailing)
      237    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.001    0.001 operations.py:1(<module>)
       12    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        2    0.000    0.000    0.000    0.000 getlimits.py:648(__init__)
        1    0.000    0.000    0.245    0.245 fft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recurr.py:1(<module>)
        1    0.000    0.000    0.003    0.003 indexed.py:1(<module>)
        8    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
